chemical_name,toxid,toxprofiles_id,toxfaqs_faqid,toxprofiles_url,toxfaqs_url
Hexachlorobutadiene,168,865,864,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=865&tid=168,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=864&toxid=168
Hexachlorocyclohexane (HCH),138,754,753,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=754&tid=138,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=753&toxid=138
Hexachlorocyclopentadiene (HCCPD),208,992,991,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=992&tid=208,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=991&toxid=208
Hexachloroethane,169,870,869,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=870&tid=169,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=869&toxid=169
Hexamethylene Diisocyanate (HDI),170,874,873,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=874&tid=170,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=873&toxid=170
HMX (Octogen),171,877,876,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=877&tid=171,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=876&toxid=171
Hydraulic Fluids,141,757,756,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=757&tid=141,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=756&toxid=141
Hydrazines,89,502,500,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=502&tid=89,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=500&toxid=89
Hydrogen Chloride,147,,759,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=759&toxid=147
Hydrogen Peroxide,55,,305,,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=305&toxid=55
Hydrogen Sulfide Carbonyl Sulfide,67,389,1429,https://wwwn.cdc.gov/TSP/ToxProfiles/ToxProfiles.aspx?id=389&tid=67,https://wwwn.cdc.gov/TSP/ToxFAQs/ToxFAQsDetails.aspx?faqid=1429&toxid=67
